Предприятия;1 декада апреля;2 декада апреля;3 декада апреля;1 декада мая;2 декада мая;3 декада мая;1 декада июня;2 декада июня;3 декада июня;1 декада июля;2 декада июля;3 декада июля;1 декада августа;3 декада августа;1 декада сентября;2 декада сентября;3 декада сентября;1 декада октября;2 декада октября;3 декада октября;1 декада ноября;2 декада ноября;3 декада ноября;1 декада декабря;2 декада декабря;3 декада декабря;1 декада января
Завод № 278;0,1;0,1;0,2;0,2;0,15;0,15;0,1;0,1;0,1;0,1;0,1;0,15;0,1;0,1;0,1;0,1;0,08;0,08;0,075;0,075;0;0;0;0;0;0;0
Завод № 327;0;0;0;0;0;0;0;0;0,1;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод № 379;0,1;0,2;0,3;0,25;0,2;0,2;0,2;0,2;0,25;0,25;0,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод № 380;0;0;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод № 496;0,2;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,2;0,2;0,2;0,25;0,2;0,2;0,35;0,35;0,35;0,25;0,25;0,25;0;0,2;0,2
Завод «Гидропривод» (№ 252);0;0,15;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод им. Ильича;0;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ижорский завод;0,25;0,2;0,3;0,5;0,5;0,5;0,5;0,5;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,6;1;1;0,7;0,5;0,6;0;0,45;1,2
Кировский завод;0,75;0,6;0,6;1;1;0,9;1;1;1;1;1;1;0,6;0,6;0,6;1;1,8;1;1;1;1,5;1,4;2;1,7;0;1,3;1,5
База спецформи­рований;0;0;0;0;0;0;0;0;1;0,6;0,6;0,5;0,3;0,3;0,3;0,3;0,2;0,2;0,2;0,2;0,2;0,2;0;0,35;0,35;0,25;0,2
"В распоряжение зам. 
наркома Су­достроительной промышленности для предприятий";0,5;0,5;0,5;1;0;0;0;0;0;0;0;0;1,5;0,8;1;0,4;0,5;0,6;0,25;0;0,5;0;0,4;0,3;0;0,15;0
Главснаб НКСП (для пр. предприятий);0;0;0;0;0,1;0,2;0,25;0,3;0,25;0,25;0,15;0,1;0;0;0;0;0;0;0;0,25;0;0,4;0;0;0;0;0,1
Завод № 5;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0,3;0,6;0;0,6;0;0,3;0,5;0;0,35;0,3
Завод № 103;0;0;0;0;0,05;0,05;0,05;0,1;0,05;0,1;0,1;0;0;0;0;0;0;0;0,2;0,15;0,15;0,15;0,15;0,1;0;0,07;0,1
Завод № 154;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Завод № 181;0;0;0;0;0,05;0,05;0,2;0,2;0,2;0,2;0,05;0,1;0;0;0;0;0,2;0,3;0,4;0,4;0,4;0,35;0,3;0,2;0;0,1;0,15
Завод № 189;0;0;0;0;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,8;0;0,25;4;3;2,5;2,7;3,5;3,5;3,5;2,4;2;2;0;1,8;2
Завод № 190;0;0;0;0;0,2;0,2;0,2;0,2;0,1;0,1;0,1;0,15;0;0;1;0,5;1,9;0,5;0,6;0,6;0,6;0,5;0,5;0,65;0;0,4;0,6
Завод № 194;0;0;0;0;0,35;0,35;0,2;0,2;0,1;0,1;0,1;0,15;0;0;1;0,5;4,4;1,5;1,8;1,8;1,8;1,7;1,7;1,7;0;0,8;1
Завод № 196;0;0;0;0;0,15;0,15;0,15;0,2;0,1;0,1;0,1;0,2;0;0,1;0;0,15;3;1;1,4;1,4;1,4;1,3;0,8;1,15;0;0,6;1
Завод № 206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0,1
Завод № 209;0;0;0;0;0,05;0,05;0,15;0,2;0,15;0,15;0,35;0,35;0;0,25;0;0,25;2,1;0,1;1;0,35;1;0,9;0,8;0,6;0;0,45;0,6
Завод № 212;0;0;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0,05;0;0;0,1;0;0,05;0;0;0,1;1;0,1;0,1;0,1;0,1;0;0,2;0,25
